timestamp;energy_used;solar_produced
1580569200;0.625;0.69
1580572800;0.573;0.02
1580576400;2.308;0
1580580000;1.825;0
1580583600;0.536;0
1580587200;1.836;0
1580590800;2.567;0
1580594400;2.327;0
1580598000;2.003;0
1580601600;2.375;0
1580605200;1.881;0
1580608800;0.454;0
1580612400;0.523;0
1580616000;1.877;0
1580619600;2.249;0
1580623200;0.466;0
1580626800;0.61;0.01
1580630400;2.163;0.06
1580634000;5.316;0.22
1580637600;3.53;0.3
1580641200;1.685;0.32
1580644800;1.02;0.51
1580648400;2.663;0.61
1580652000;1.135;0.32
1580655600;1.324;0.3
1580659200;2.658;0.01
1580662800;3.053;0
1580666400;3.595;0
1580670000;1.014;0
1580673600;0.347;0
1580677200;1.486;0
1580680800;2.375;0
1580684400;0.471;0
1580688000;0.412;0
1580691600;1.235;0
1580695200;2.308;0
1580698800;0.933;0
1580702400;0.43;0
1580706000;0.942;0
1580709600;3.778;0
1580713200;2.547;0.13
1580716800;0.847;0.47
1580720400;0.229;1.18
1580724000;1.872;1.8
1580727600;1.512;2.56
1580731200;0.337;2.03
1580734800;0.205;1.32
1580738400;1.067;0.65
1580742000;2.362;0.23
1580745600;1.781;0.01
1580749200;1.247;0
1580752800;3.031;0
1580756400;3.229;0
1580760000;1.443;0
1580763600;0.652;0
1580767200;0.644;0
1580770800;2.105;0
1580774400;2.263;0
1580778000;0.434;0
1580781600;0.717;0
1580785200;2.018;0
1580788800;2.499;0
1580792400;0.929;0
1580796000;2.358;0
1580799600;2.958;0.02
1580803200;3.069;0.48
1580806800;0.912;0.65
1580810400;0.358;0.97
1580814000;0.967;1.08
1580817600;3.932;1.01
1580821200;1.307;0.43
1580824800;0.417;0.32
1580828400;0.857;0.13
1580832000;3.345;0.01
1580835600;2.402;0
1580839200;2.167;0
1580842800;2.822;0
1580846400;2.452;0
1580850000;1.967;0
1580853600;0.817;0
1580857200;1.113;0
1580860800;2.495;0
1580864400;1.908;0
1580868000;0.666;0
1580871600;0.618;0
1580875200;2.262;0
1580878800;2.275;0
1580882400;1.871;0
1580886000;1.672;0.09
1580889600;2.501;0.38
1580893200;2.491;1.08
1580896800;0.392;2.65
1580900400;0.383;2.59
1580904000;0.727;2.33
1580907600;2.449;1.73
1580911200;1.155;1.11
1580914800;0.186;0.32
1580918400;1.209;0.02
1580922000;2.327;0
1580925600;2.177;0
1580929200;0.69;0
1580932800;0.755;0
1580936400;3.163;0
1580940000;2.451;0
1580943600;0.934;0
1580947200;0.593;0
1580950800;1.594;0
1580954400;2.493;0
1580958000;1.426;0
1580961600;0.66;0
1580965200;1.281;0
1580968800;3.981;0
1580972400;2.599;0.12
1580976000;0.56;1.16
1580979600;0.264;1.83
1580983200;2.019;1.2
1580986800;1.796;1.87
1580990400;0.886;2.66
1580994000;0.906;2.06
1580997600;0.898;1.79
1581001200;2.005;0.89
1581004800;1.457;0.07
1581008400;1.234;0
1581012000;2.228;0
1581015600;3.065;0
1581019200;1.542;0
1581022800;0.735;0
1581026400;1.075;0
1581030000;2.44;0
1581033600;2.035;0
1581037200;0.704;0
1581040800;0.816;0
1581044400;2.626;0
1581048000;2.638;0
1581051600;1.034;0
1581055200;1.357;0
1581058800;3.495;0.33
1581062400;3.528;1.85
